text,toxic
"What does it say about the Republican party that it has nominated a creature for president who exhibits many signs of being mentally ill?  If he was standing in a street corner, wearing rags and shouting at traffic, most people would know what the problem was. But dress him up, put him in a $10,000 suit wearing the fur of some strange animal on his head, and despite all the bizarre remarks, his endless repetition, the ritualized hand gestures, the distorted facial expressions, the grunts, the prodigious narcissism, and that passes for sanity amongst the field of 17 mostly pathetic aspirants to the presidency.",1
And a giant tsunami can halt the work on the rail project for a while too !,0
"How will we ever know for sure about Mr. Boyden's true ancestry? Since First Nations' identity politics is playing an ever larger role in Canadian political life, we need a definite way to resolve ancestry debates.  Here's one possible solution. Canada should create an independent federal government commission to research the genealogy of anyone who claims to be aboriginal, Inuit or Metis. The commission would also make explicit the percentage of a person's blood line required to be so categorized (it seems today that no such explicit formulas exist) .  The commission would make all official determinations, and would keep the official list which would be open to all Canadians to view.  If you are not on the list, then all would know that you did not have sufficient First Nations' ancestry to call yourself of that origin.",0
"Ugotta B Kidding
You got to be kidding me! There is $$$$$$, to be made, they won't stop selling booze, until someone gets hurt.",0
"Trump is a master magician. While we are all commenting about Spicer or Conway, Trump is vetting Supreme Court nominees, hiring Undersecretaries to key posts, or drawing attention away from the inconsequential marches this weekend.

BTW, did anyone see where Madonna made threatening remarks about the White House, presently? Apparently, they were not ""off the cuff"" remarks. She was reading from notes.",0
"Our public lands are the last place to reduce spending. Let's start with reduction of military spending, probably the most wasteful of all.",0
So Russia played a roll in getting Trump elected? Do you know something that the rest of the world doesn't know?,0
"Did you know that the ""golf ball""as powerful in range and ridiculously expensive it is, has a very narrow field of view, limiting its use in a mass attack and still may have trouble discriminating actual warheads from decoys.   I don't even know how reliable it is to be available at a moment's notice, not to mention if in harbor, its view might be blocked.   Yes, Aegis ships  when in Hawaii, could defend against ballistic missiles, but will need an upgrade to a new missile type that will take several more years to intercept an ICBM vs shorter range missiles.   The new ABM radar proposed for Kauai and activating the onshore Aegis site at Barking Sands  (including the new version of the missiles for ICBMs) should be a crash program to add more layered defense of Hawaii and the nation.",0
"Are you out of your mind?
""Well dressed woman...""
so now YOU are advocating making personal evaluations?
Well dressed people don't drive stolen cars.  You are sad..
Racial profiling may well be a problem, but crying wolf is as big a problem.
A white guy driver would have been treated the same way.
Quite whining over every thing.  Find examples (and there are plenty) of legit discrimination, and don't turn every incident into one, as that only diminishes integrity for everyone.",1
Thank you very much.,0
indecipherable language is intentional.....hard to grab on to jello,0
"Sure hope there's an update on the woman's condition. Having a beer can thrown into your face has to be excruciatingly painful, not to mention unsightly, and its extraction can't be pleasant, either.",0
"This is Anchorage.  Kill someone, get the three month Alexandra Ellis sentence.  Shoot at but don't kill, get a blankie and a hug.",1
"Why is OHA kicking in $400k? It's like the boss walking around saying ""Eh, my daughter selling fundraiser Chili tickets. No fo get to buy a couple,ok""!!",0
"Murder is the worst crime imaginable and for intentional murderers I have no mercy.  I would not oppose summary execution for intentional murder.  But in considering crime, I look to the true objective consequence and evaluate punishment on that basis.  Many crimes now given long sentences have marginal impact by objective rather than emotional measure.",0
So says the U.S. and all the gullible sheep obediently fall in line and believe them. The U.S. are merely trying to justify their war crimes and acts of murder.,0
Dead people & the people who loved them don't care about your poor attempt at statistics deflection.,0
In 34 years it will be Stapleton round 2 with houses built right up to it with complaining people living there and they'll have to move the whole thing out into the sticks. Again.,0
That and $1M from the community.,0
"Ending rail by removing it incurs tremendous costs of not solving traffic congestion and housing covering all available land - urban sprawl. Another cost is the cost of removing existing construction. We have to think of rail as an investment in the future.

Another good investment is on kids in poverty who never receive adequate early education. They do very poorly in school and in life if they miss the important developmental tasks in their early years. For them it's a basic need. And for us it's an investment in their futures that they cannot afford. Studies show that even at ages 27 and 40 they lose out and are on the bottom of the heap. One dollar spent on the program returns over $7.",0
Oh socialism first it's not socialism and 2nd even if it was Medicare currently exist so who cares.,0
It's not easy doing nothing.,0
"It is the international headquarters for YWAM, Youth with a Mission. It is a Christian organization where young people raise their support and get trained 6 months and then go on missions 6 months. This is sad because even staff must raise their support. I had a friend who was staff at their Maui location.",0
"No, republicans are far more likely to cheat, lie and persecute others who aren't white Christian heterosexuals. 
Republicans through years of lies are turning this country into a fascist theocracy.",1
Jenkins lets fly his spew of desperation  :  /,0
Seriously....like he had a death wish,0
"Even on the world stage, Trump is speaking to his base. He knows that his loyal mob of knuckle-draggers is thrilled by the macho-man act, the frat-boy rhetoric, and that it will inevitably blame   the dastardly media when he starts WWIII. He also knows that his backward base is all he's got, voters with functioning brains having abandoned him long ago.",0
"We really, really need to focus more efforts on getting more affordable housing built/converted/available. It's insane that Jon Ruiz and his staff are so busy serving the ten families that control the rental housing market that they have no time left to work on creating affordable housing opportunities. Eugene city government has the money to make a tremendous difference, but it always finds something so much more important to use the funds for, like a new city hall boondoggle, creating more management positions or, coming soon, massive park upgrades. (I wouldn't oppose those if our current parks weren't being actively destroyed by campers, but it seems silly to build more amenities when you can't maintain what you have.)

For once, I believe my opinion on this may be shared by a majority of Eugene's residents. I think we've all pretty much had it with watching ever-more people pushed into the void of homelessness. The longer we wait to deal, the fewer will be able to climb out.",0
"More misdirection, I see.  

First - this is not supposed to be purely a pro-abortion March.

Second - it is unbelievably rare that a mother's life is in jeopardy from a pregnancy these days.  Even rarer that direct abortion will save her.

Third - I do not see where you admit that indirect abortion, the principle of double effect, is allowable in grave cases.

Fourth - I guess you CAN take children's bodies away from them...as long as a woman wants to.",0
"It doesn't matter how big of an income tax or how much of cap taxing our PFD is passed this legislative session.  The problem is too much spending and giving away our oil wealth to big oil.  Big oil is grinning like a fat cat because the fiscal discussion isn't about their tax credit giveaways.  Have you or the public ever heard big oil publicly say, ""Let us help with the state's fiscal mess.""",0
"Could this actually point to a toxic organization as in ""the fish stinks from the head down"".  The old expression ""what goes around comes around"" may apply here.  You give employees a reason to retaliate and it is human nature, but lets not assume it is lower level ones, because that is typical of management ""cant be one of us"".",0
I think this is silly bullshit and I firmly stand behind the restaurant owner. I for one will be asking everyone I know to eat there BASED on this silly bullshit.,1
Are you telling me that the Liberals could not improve things for Ontarians while in power for 15 years?,0
Private property when it is abandon and crumbling is a city hazard and the property owner has a duty to control hazards on their land. If they won't ...the city MUST step in. You don't get to leave your mess unattended. These fines are a deterrent to allowing your crumbling toxic mess to potentially harm others and reduce neighborhood property values.,0
"You were waxing on a teaching of the Church. In order to establish whether you have the bona fides for us to pay any attention, it is relevant to determine how you arrive at a belief.

You previously had said that you believe in a triune God. You also indicated that you read a teaching, pray, consider it, weigh whether it’s reasonable, and then conclude.

A triune God is a pretty esoteric belief. It is not clearly stated in Scriptures. In fact, people well above our pay grades battled about for centuries.

It’s a fair question.",0
"Keaaloha alludes to Nash Equilibrium in referring to ""zero sum"". Outside of the land issue, this is a reason why economic Game Theory is off kilter. Hawaii as a state is unique when it comes to federal law and all the lands and waters of the Hawaiian Islands. Its the only state where federal Indian policy is recognized by Congress as where all the land (and water) is considered having Indian title. In all other states, only some lands are trust lands. The closet parallel is the Navajo lands. So it probably is the reality that even if not reserved per se, the Mauna lands are also trust lands of the Hawaiian Community, which incorporates the native Hawaiians for whom reserved lands were set aside as protected by direct federal jurisdiction from taking by none other than the federal government. The state administers this trust but is biased against both federal policy and the Hawaiian community. There cannot be a fair trial and thus due process where the process is biased fundamentally.",0
One reason (albeit cynical) why the IRS doesn't investigate political preaching is that members of the congregation who actually pay attention already agree with the politics. Those who ignore the bishops and other preachers normally are not inclined to be persuaded.,0
How about we tell a bunch of Munchausen moms to seek professional help?,0
"What we call SkyTrain in BC, is 1) a proprietary railway which patents are owned by Bombardier and SNC Lavalin and 2) a truncated heavy rail metro (Canada Line) which phony P-3 consortium is headed by SNC Lavalin.

The ALRT/ART SkyTrain lines are not considered legitimate rapid transit and only 7 such systems have been built in 40 years under various names;, ICTS. ALRT, ALM, ART.

Due to small platform size and small trains, the ART/ALRT Lines are legally only allowed to carry up to 15,000 pphpd. The Canada line, with station platforms half the length of the ALRT/ART Lines effectively has half the capacity.

The cost to increase capacity on the ALRT/ART Lines - $3 billion; on the Canada Line $1.5 billion.

Today, modern LRT can carry more customers at a much cheaper cost (see Ottawa).

Because of contractual obligations and political chicanery, Metro Vancouver can only afford to build a short ALRT/ART/EMU line every decade. These are Metro Vancouver's rapid transit facts.",0
Lol,0
"So Lisa thinks Alaskan's should be able to drill on an area of 2000 acres ---- Really. really !
Gee thanks Lisa. What about all the oil sitting in acre 2005 or more ? Big of you. Small thinking, Wrong thinking and certainly not thinking about Alaska's future !  Miller in 22",0
"John,

I have puzzled over Evertz (ET) since I first looked at it early last year. It has a compelling story ( an inventive techie and a finance guy acquire a company a couple of decades ago and make an interesting business of it), and it has a high R&D budget and quite strong free cash flow (FCF) generation. But it has had little EPS and FCF growth in the last decade. Total returns from 2006 to 2016 were about 7% a year. ROE has fallen from 40% to 50% in 2007 to 2009 to 15% to 20% in recent years. 

A simple Gordon model (sum of current yield and future EPS growth) give me expected returns of 5% a year. I would look for 15% + for small cap that could get disrupted (disruption may already be part of the story).

I also looked at a perpetual FCF at average recent amounts and got a yield of about 5% at today’s price.

Am I missing something here?",0
"Wake up, Duke.  It's hardly just ""Liberals"" who are sick of Trump.  Oh, but I forget -- you seem to think everyone this side of Mussolini is a ""Liberal"".",0
"Wow, 4 team league play.",0
Try either 8-1 or 7-2.,0
GT:  Hope it happens to you next time.,0
Thats a lot of lone wolfs.,0
But HR lying is constant.,0
"Yes, please keep it in Korea.",0
"That article doesn't say that child pornography and pedophilia are on the upswing in Colorado. You made that up. It says 'During a press conference Wednesday, the FBI said operations across Wyoming and Colorado led the most rescues in the nation. Arapahoe County District Attorney George Brauchler said he didn’t believe the numbers reflected an epidemic problem of sex trafficking in Colorado.

“I just believe that we have a kind of partnership and a unique environment of experts who are willing to put themselves on the line to rescue as many as possible and that’s how you get these phenomenal numbers,” Brauchler said.

FBI Assistant Special Agent in Charge Todd Pooler agreed.

“It is because we devote a lot of resources to this initiative and we have some very talented investigators and other individuals that bring this together and work around the clock to rescue these kids,” Poolers said.'",0
"I'll ask the question I always do when Tulsi breaks the mold and inevitably gets the ""why wasn't she fixing healthcare or something, something, else"" treatment.

What did Brian Schatz, Masie Hirono, and Colleen Hanabusa do last week? 

Representative​ Gabbard,
Thank you for introducing some sanity to our national drug policy before it wastes more precious resources, ruins more lives, and erodes our civil liberties further.  You are great American and I am so glad you are in office.",0
so it was a good thing that the US and Canada rejected that ship of jewish refugees back in the 1940s??,1
"Thank you for mansplaining how a woman can keep herself warm; however would a woman who wants to look ""pretty"" survive without a man to tell her how to dress? Jesus. Maybe the first step to being an effective journalist is to not talk to people like they're children. I expected better from an ADN columnist.",0
"Ernie, I sort of understand what you're saying about ""SPEEDING UP"" the process, hopefully the same urgency can be exhibited by the City Council, The House of Representatives, The Senate, Permit and Planning Dept., Road repaving, Broken water-main repair, Homelessness, City entities saying ""that's not us it's the State's"" the State entity saying ""it's not us it's the City's"" or ""It's not us it's the Fed's"" then in the end it becomes ""it's the property owners responsibility"" you know what I mean ERNIE, basically the WHOLE political process itself.",0
HC is small potatoes. They do not have the ability to bring down the financial system.,0
"Perhaps I am missing something, but isn't that (""schools challenged to help each student to develop a post-graduate plan"") exactly what the Mayor is doing?",0
He nailed it soundly as a matter of fact.,0
"Country before Party! 
If Gardner would show up to listen to people other than his hand picked closed town halls then maybe people wouldn't be so angry when they finally have an opportunity to be heard. 

Cory Gardner's form letter replies tell me he is not interested in listening and only worried about pushing the party line. He was elected to office and he should not be a coward about meeting with the ALL the people be represents.",0
Because it's 2017.,0
"When President Obama took office in January 2009, he inherited a plan that President George W. Bush forged in 2008 with then-Iraqi Prime Minister Nouri al-Maliki. That Status of Forces Agreement called for the withdrawal of all American troops by the end of 2011.

At the time, American insistence that any criminal acts by US forces be immune from Iraqi prosecution scuppered negotiations to keep US troops in Iraq.

We also see a continued reluctance in Congress actually to authorize military force.  They want Obama to take action unilaterally (see Syria) and criticize him when he does so (see Libya, where American action had international backing).

Since Bush's widely opposed invasion of Iraq in 2003, with very limited international backing, we have seen chaos from:

1. Invading a West Asian country (Iraq); then,
2. Intervening in a North African country without invading (Libya); then,
3. Leaving a West Asian country alone (Syria during the earlier phases of the civil war).",0
"It may be too late! Wiki; "" At the June 16, 1971, Eugene City Council meeting, the council adopted an ordinance enforcing seven pages of rules prohibiting some behaviors at the mall (aka Kesey Square.) The mall had been open only four months, but in that time it had become a place for young people to ""hang out."" They lounged on the lawns, climbed on the main plaza fountain, and waded in fountain pools. The presence of a transient, non-customer population on the mall would be a frequent challenge. Almost from the beginning, city leaders had tried to regulate public use of the mall with permits and fees required for organized activities. At times, the regulations escalated tensions between city government and citizens trying to enjoy the mall, although the city was not able to devise an effective method of resolving tensions."" The counter culture had been accepted for just a few years when Eugene had enough of the acting out. 46 yr's of enabling by some + soft policing = today/no change.",0
"If you think that for Christians, xmas is just a 'marketing event for retailers' then you couldn't be more mistaken. Perhaps if you took the time to know and understand what Christians believe and follow you would likely change your opinion",0
"Ms. Clark is a terrible premier and as corrupt as they come, but she is a brilliant campaigner and may well pull out another one for the energy industry and real estate developers ... the only people who benefit from her policies. If she does win it will be a disaster as she will do everything she can to benefit the wealthiest people she can, in province or not, so that she can reap her windfall when she retires.",0
What a freakin idiot,1
"To reiterate, what happened in Ottawa is not a formal ratification.  You are being deceived, public. Unless Canada has laws to implement action, it won't/can't happen.  Others might suuggest      aactionn ccan hhappen by OOrders in Counccil and other  ggovernment fiatss.  ((sorry, tthiis program is ccreating its own spelling). If that is so then Mr. Trudeau is truly using his power to curccumvent tthe democratic process that is meant to be Parliament.
True, certain laws may already be on the books to allow for action,, bbut all tthe media and political talk of tthe PParis Agreement heraldi ng the world's first gglobally llegally binding aagreement just ain't so.
CCheck out thiis link for example:  

http://www.telegraph.co.uk/news/2016/09/03/rising-emissions-show-paris-climate-agreement-is-an-act-of-delus/",0
"Justin

We don't trust the system or you and your merry band of spendthrifts.",0
"I have no real estate investment knowledge or experience whatsoever, so I'm left to fall back on basic arithmetic. If a $5.4 million investment shows no profit for 10 years without a tax break of $62,000 per year, then that means the ""incentive"" is yielding a 1.15 percent annual return. Can you please explain why an investor would settle for that over 10 years when I can get a whopping 1.00 percent on an 18-month CD from my bank?",0
"Please read this study by CNN, titled:
""Fluoride exposure in utero linked to lower IQ in kids, study says""
http://www.cnn.com/2017/09/19/health/fluoride-iq-neurotoxin-study/",0
"It's industry and business who open their wallets. In every developed country in the West except ours (and Cuba) workers negotiate private health care as part of their benefits package. It allows workers to get their health care quickly and results in less workdays lost to sickness, and lowers the waiting list for everyone else.  Seniors are less likely to fall and fracture their hips - further increasing the cost of health care - while they are on a waiting list for  knee replacement. 
But the left just labels it as ""Two-tier health care"" and shuts down debate.  Nothing is allowed to  challenge the liberal dogma.",0
"Get rid of the EC.

Equal representation is to be found in Congress.",0
"A $1,000 fine would deter no one.  This is a travesty.  But then Alaska has always been a ""kill the animals"" state.  If the elephants are all killed off then the walrus is the only animal supplying the market. 

The takeaway:  never ever buy anything carved in ivory.  If you do, you are contributing to the slaughter of animals for just their tusks.",0
"I have found it is good for inflammation... when I didn't know how to eat properly.
 
There is a lot of information on the web about cleaning a dog's ear with ACV.  It is useful if the dog's ear is infected but for maintenance it has way too much sugar and will gum the ear up.  White vinegar diluted with purified water does better, I don't care about the pesticides used to make it because sugar is the bigger enemy especially in a dog's ear.",0
He didn't say anything about how many times any particular academic is offered up... just that there were three academics offering up the same viewpoint.,0
"""If Jesus is being sacrificed again in an ""unbloody"" manner I take issue with this as an emphasis in need of reform.""

That the Mass is an ""unbloody sacrifice"" is core Catholic teaching.  You apparently didn;t know this, and say you want to ""reform"" it.  The reasonable conclusion is that you're either not a well-informed Catholic, or are a ""Reformer,"" a Protestant.  Why do you care whether the Catholic Church ""reforms""?  You now have an array of Protestant denominations from which to choose.",0
"I meant that America spends the $trillions to invade and occupy, the corporations go in for free.
Look at the Roman Imperial Empire. America has the same ideals as it did at the time they put the Christian jesus to death at the request of the corrupt priests in bed with the moneylenders.
The white mans jesus was a refugee, so where are the souls of the evangelicals and Christians going when they die and have to talk to their jesus, after booting out the refugees created by our policies of theft and murder?
The white mans jesus helped the less fortunate and dying and despised the moneylenders who took advantage of them,  so where are the souls of the evangelicals and Christians going when they die and have to talk to their jesus.
Racism and grinding down the less fortunate is against Christianity, so where are the souls of todays republican and democrat Christians going when they die, after a lifetime of mean spirited actions against others, just so they could do it?",0
"Canadian army: 49,500 (23,000 regular force, 17, 000 reserve forces, 5000 rangers, 4,500 civilians)",0
"I understand, Hillary's dirty actions are all fine and dandy with Democrats, but getting the proof of her dirt is illegal in the minds of liberals.",0
"So now, see you got Pit coming in, another mediocre squad, chance for Your Js to make up ground.  If Your Js follow past trends, then expect them to lose this series, to leave wins on the table through poor execution, giving their opponents extra outs, and some just head-shakingly grotesque in-game managing.

Your Js have been in this situation before and coughed up hairballs, see what happens this time.",0
""" It’s “only” a V-6, but it has 305 horsepower – which means it goes like stink but maintains reasonable fuel consumption.""

It ""goes like stink"" alright. The whole car smells like a lemon that's been pulled out of a sewage lagoon.
Chisler used to make good cars...50 years ago. In EVERY year for the last few decades they have been at the very bottom of the world wide quality rankings, something the fanboys will never admit to. PT Barnum was right.",0
"The US is near the bottom of educational excellence as compared to other first world nations.  Alaska ranks near the bottom of the US in educational excellence.  How much worse can it get?  I see a lot more charter schools in our future, private academies where kids here in AK, with the financial resources, can actually get the education that they used to get in public schools back when oil dollars were running rampant, but it's going to get even more dire for those whose parents can't afford to pull them out of this failing public school system.

America is failing and Alaska is just one of the 50 cogs in the wheel of failure, if you are a parent and can at all afford it you need to privatize your child's education, just to give them even the smallest chance to succeed in American universities which are tending to accept more graduates from countries that have much better education systems.  We are no longer competing on a global scale and it's a little sad.",0
"NATO exists specifically as a defense against Russian aggression.

What happens when Russia sends its tanks into Eastern Europe?",0
"At the timing of the polling, the concept of Carbon tax, or cap and trade are still rather abstract to almost all Canadians.

What the monthly cost will be to the household, and if the funds collected make any progress or difference with the levels of CO2 in the atmosphere and if there is a reduction how does that play any positive role with the planet are still to be determined and quite possibly under estimated by the various governments with apologies yet to come for the misunderstanding.

Let's see if the same numbers are there in the following years, and perhaps the pollsters should ask the same exact question every year for the next five and gauge the level of support.",0
"McCain needs to retire, seriously.",0
"Agreed!  I was nervous about driving in Italy last summer. But I quickly realized (at least in the Milan region), people drove fast, yes, but they certainly respected the passing lane !!!  Never once did I see a left lane hog. What a relief it was!",0
Why is everything so difficult.,0
"No.  And there's ""equality"" for you!",0
"OK, perhaps WKRP isn't the best analogy.  A better analogy would be Hogan's Heroes.  Donald Trump is like Colonel Wilhelm Klink - a highly respected and competent leader who earns respect by being tough but fair.  Plus, Colonel Klink didn't participate directly in the Holocaust, so you can't call him anti-Semitic.",0
"I don't think a ten year old would ask an adult how something made them feel either. But the current Denby could have included a line in her article like 'as upset as this made me as a young child, I can only imagine how upsetting this was to my maid, so and so .' Otherwise it comes across as a tad self-congratulatory. One of my friends asked me today, why doesn't Civil Beat ever ask a minority to write about their experiences with racism in Hawaii?",0
If bills are great they would get 60 votes.,0
I believe Wente's facts over your slanted nonsensical opinion.,0
"“He’s a showboat. He’s a grandstander,”.  A very hypocritical statement when you consider the source.  Truly bizarre when you look at a country that touts itself as a shining example of democracy.  In 100 days they have spiraled downwards further than anyone could have imagined.  Truly scary.",0
And you get to choose when it clearly means which?,0
"I haven't run into any innocent people rotting in jail during my 27 years working there after they been sentenced. But you are correct in saying that rod of justice is often applied indifferently by our court system. Sentencing guidelines is often a double edge sword and lack of one, often create injustice as well. We hope that the judges are intelligent enough to be fair but yet we know that many of them, along with the DA offices, are corrupt with indifference. When a person like Jeff Dusenbury can be run over and murdered by a young lady who gets off simply do to her parents' influence, that is a classical example of indifference justice system aided by an indifference District Attorney Office. But the simple fact is, people do commit crimes. Whether they are a threat or not is immaterial. Long prison term do mellow many violent criminals. Short ones do not and they often do life sentence on an installment plan. Where is the balance I wonder....",0
A self admitted bankrupt company is a success? You must be a Bombardier publicity guy.,0
I doubt Lisa herself supports aborting her babies.  In the past she's rightfully supported the notion that other women deserve to make their own decisions without government telling them what to do with regard to their pregnancies.,0
We should all calm down. The attack as it turns out was more symbolic message than military. And Trump did notify the Russians of the attack beforehand so they could get their people and equipment protected. He launched just 59 missiles on one airfield where the Sarin gas attack originated. This not Obama's idea of hundreds of Cruise Missiles and bombing of many Syran targets that was opposed by Congress and that Obama wisely called off at the last minute,0
"If Spicer got a photo of him and Francis, he should send it to Trumplenutcase in a Christmas card.",0
"Still waiting on you to tell us why you give yourself likes, Fredericks. Chicken?",0
Why can't Mat-Su Borough pet owners control their pets?,0
Libertarian on social issues.  She's a millennial.,0
"Quite right Krista.  

Little Rubie is enraptured with The Donald and nothing factual or logical will diminish his love affair.

It's the only thing that he has in life so he clings to it desperately.

As The Donald would say...SAD.",0
Wow. Thats not a lot of sales for 581 million.,0
"I thank the Holy Spirit who put the words into St Paul's mind knowing at that moment you'd eventually use it here, and I would then in turn use it for the teaching of many. 

Remarkable gift of the Holy Spirit.",0
"92% recovery rate!  great - but what kind of condition are these vehicles recovered in?  If it is heavily damaged or totaled is that still considered a recovery?   The low bail amounts are absolutely ridiculous, especially when you considered how much most people have invested in their vehicles.",0
Simple....sue the city.,0
A perfect example of the benefits of expansion; would never have seen the NHL without it... RIP Bill White,0
"--O--Its only --hush  $$$    ""just"" a failure to ==""communicate""",0
"if the farming, ranching, hunting, fishing & skiing industries would only band together in response to the direct shots being fired across their bows, Colorado might yet grow a pair. instead it's being left to grassroots citizens' efforts to slay the marauding dragon that is the oil 'n gas industry.",0
"It was very hard to watch that episode. The most liberal person on TV, Bill Mahr, ate her lunch. It was truly embarrassing.",0
"I too was expecting a photo of the suspect at large. However, when I saw no photo, I did not immediately assume ADN was deliberately withholding news due to racial sensitivities, as you (and 41 likes!) did. 

Ask smarter questions, folks. 

Why no pic? Suspect's over 18. Should be a pic, right?  Did APD make a pic public? Yes. If you click on the red print in line 6 of the story, the entire APD release including the pic is there. 

OK, so why do we readers have to do our own digging for descriptive details about the suspect? Well, if you click on the reporter's name, he is both the political reporter and a general reporter. Has staff reduction at the ADN in recent years resulted in fewer reporters doing more reporting? Or was there merely a skeleton crew in the newsroom due to the weekend -- not to mention Christmastime? 

What say you, ADN?",0
"Yes - they did mishandle it.   And, one wonders at the role of ""networks"" of people.",0
"I read the opinion given by Diann Rice of the civil service commission in ruling against Phillips. To me, it's bigoted against religion. The bias, discrimination and hostility she openly displayed..... there's no room for it on a governmental agency that's supposedly free from it. 

Reading more on the details than the MSM will reveal, it doesn't seem the case against Phillips is all that strong. Not as it's been advertised.

Apparently, there wasn't a problem selling an already made wedding cake, or other products, only a wedding cake the maker creates with his version of artistic expression.",0
"There is such a thing as being a trained observer. Anyone can improve their powers of observation. Some receive formal training such as intelligence agents, spies. soldiers and police but you can do it without help just practice. Alaskan outdoor enthusiasts would all benefit from carefully observing their surroundings, the sights, smells and subtle motions all contain information, sometimes vital information. Drivers should be no less aware of their surroundings than the pilot of a plane or the captain of a ship. It's serious business driving especially in Anchorage. Start with looking out the window and try to see something you never noticed before. You will, but be advised, it can become addicting....",0
"Don't look now, but you just condemned your own comment.

That comment wasn't from me or my 'ilk',  as you say.

All I did was cut and paste your own comment.  

You just identified your own comment as 'smug arrogance'.",0
"And there it goes again. P-l-e-e-a-a-s-s-e stop with the kindergarten logic of deflecting Trump concerns with Hillary Clinton or Barack Obama. ""Bush was worse"" was never a valid argument during the Obama years, and ""Clinton was worse"" was never a valid argument during the Bush years. ""Obama was worse"" is not a valid argument related to current president Donald Trump. Much less Hillary Clinton, who is not and never has been president. We are all Americans and our discussion is the president we have now, not who we used to have or who we might have had.  There is no team scoring here.",0
"It's not a tax increase, it's maintaining current tax rates.",0
"Dental insurance is a fraud, as they price covered dental services well below what is actually charged by dentists.  For example, the insurance may put a price tag of $500 on a procedure, then pay 50% or $250.  However, the dentist may charge $1000, so the cost to you is $750.  If the annual deductible is $250, then you're out the entire $1000. Ha ha, you're the victim of dental insurance math, which is a big consumer ripoff.",0
"Aloha Darryl !
I have questions that I have asked multiple times and no one ever seems to answer them, maybe you can ?  
If Pot is decriminalized :
1) then does that mean every prisoner currently serving time for pot can move for dismissal and get the charge dropped ?  Would we end up with a massive release of prisoners ?
2) How would that impact if my neighbor is getting stoned in his apartment and all of the smoke is blowing through the windows into my apartment, and my kids are getting stoned as a result, would there be anything i could do about it ?",0
Is a Jewish German the same thing as a German Jew?,0
RBC teller issued credit card without consent. 6 months later we are still trying to get this resolved.,0
"was not the earliest church at least simultaneously in Britain, led it is claimed by Joseph of Arimathea?  Was he or was he not involved with Phoenician ships?  There was all sorts of non-Roman transport going on, and I must say this is the first time I have heard of the trade commerce routes being part of being in Rome..not a bad idea of course.",0
"Renting - as recommended by those living in houses...

Apparently home ownership in Canada is for the foreign and the wealthy but not for the average family with honest jobs - especially if you have kids. If this seems OK with you - get counselling.",0
"I agree with you on Tim McVeigh.  The others, I don't, but it's your opinion.",0
"Did I get this right?

In a land where we have the freedom to be you and me, you done did something stupid if you spent your PFD on a:

--- weekend out of town instead of newer appliances and winterized your living space;

--- game-system upgrade instead of pet supplies to last through the winter;

--- purse instead of a really, really, really, really, really well-stocked pantry.

Got it. 

It's stupid to spend your money as you see fit - according to your satisfaction - if you do any of the above. 

Par for the course as elitism continues to flourish at the AK Dispatch.",0
"Thanks, Dermot",0
The same thing happened with the infamous Zionism is racism resolution. It was eventually revoked. The only done deal in the current environment is that Trump will be the President.,0
"Newt Gingrich and the Republicans took over Congress for the first time in decades and forced Clinton to sign Welfare Reform and they balanced the budget for him.  Remember?   BTW, Congress raises taxes, not the Executive Branch.",0
"Huge scam, just like the Trump Russian collusion story.
Except this was pushed by the Republican establishment.",0
What bashing?  Did you even read it?,0
